variant,client_id,client_name,best_val_auc,auc_roc,auc_pr,f1,mcc
pFL-LFT,1,Coronavirus,0.8025454713484989,0.8104771712528448,0.542526133357828,0.5568008607549538,0.404005913023712
pFL-LFT,2,Parasite,0.8845272851767035,0.8863754154792748,0.4633839408959685,0.4102074886715955,0.40132892621084193
pFL-LFT,3,Human/Self,0.7132921465242466,0.7442086448853437,0.5384064998166241,0.5682226211849192,0.3522234598418618
pFL-LFT,4,Flavivirus,0.6850822708946279,0.6915543711090575,0.6080686630295701,0.5882917466410749,0.28015044372865977
pFL-LFT,5,Bacteria,0.7323875252456415,0.7183050112978611,0.5265318355343863,0.5634551495016611,0.31980280886158097
pFL-CLF-Only,1,Coronavirus,0.7954036624755674,0.8025372328569544,0.5255738304118593,0.5473720312098088,0.3918537541969595
pFL-CLF-Only,2,Parasite,0.8703068000046031,0.8665832112139273,0.4250143886244413,0.35581787521079256,0.34612330565279276
pFL-CLF-Only,3,Human/Self,0.705901082313552,0.7297287936498026,0.5284375680334017,0.5478147987884033,0.3149365623061485
pFL-CLF-Only,4,Flavivirus,0.6936147577180938,0.6971394184272175,0.6027672796411349,0.5861902462578464,0.2790432449891077
pFL-CLF-Only,5,Bacteria,0.7392196463751596,0.7185817315132943,0.5193619431026598,0.5546875,0.30214985462190225
pFL-FedProx,1,Coronavirus,0.8019023247431969,0.8101695573087143,0.544173076813723,0.5555456570155902,0.4023867858008544
pFL-FedProx,2,Parasite,0.8838203850535692,0.8853290434756592,0.4615566753606112,0.40271281571562206,0.3943685087378264
pFL-FedProx,3,Human/Self,0.7129190528303602,0.7413393094082203,0.5334625992320802,0.5664028144239226,0.34688942636903847
pFL-FedProx,4,Flavivirus,0.6797690020245121,0.6829425376288624,0.6040536267786271,0.5695760598503741,0.2644293550896626
pFL-FedProx,5,Bacteria,0.7274387599588635,0.7150586560188195,0.524334581805086,0.5607843137254902,0.3130829380729067
