round,client_id,client_name,epoch_1_loss,epoch_2_loss,epoch_3_loss,local_val_auc_roc,local_val_auc_pr,local_val_f1,local_val_mcc,client_time_seconds
1,1,Coronavirus,0.5766931806924035,0.5468238007574318,0.5343518734360703,0.8028369075509102,0.512398544230638,0.5503141870962032,0.39457630950562633,370.01043701171875
1,2,Parasite,0.5221405884308755,0.45279693408587646,0.4273070496283183,0.8784448254830433,0.4391554891181543,0.3346967810777165,0.3414279412435612,346.10028076171875
1,3,Human/Self,0.6598178711707962,0.6199439453866342,0.6069242607697882,0.7199326282643868,0.5131123323206984,0.546583850931677,0.3164653769759893,66.24903059005737
1,4,Flavivirus,0.6748586439139006,0.6527428234255077,0.6410856746285167,0.6845797273504127,0.5928037268810735,0.6109803921568627,0.25703808656691496,50.89353275299072
1,5,Bacteria,0.6749706918320048,0.62886232358438,0.6120093675797859,0.7532450716790365,0.5854651958604957,0.5623987034035657,0.358421797018637,37.43189835548401
2,1,Coronavirus,0.5448392731240864,0.5274229119476324,0.5186083442049219,0.8073588218713467,0.5317615760525245,0.5507547169811321,0.3934587270068795,361.9148097038269
2,2,Parasite,0.45661625317333976,0.4189162216358638,0.39919399077347084,0.889275636673303,0.4521941262132754,0.3992699064567648,0.393412514357623,344.1759264469147
2,3,Human/Self,0.6252492456945754,0.6043063849589904,0.5902721714275787,0.7352289813711975,0.534900748989733,0.5633687653311529,0.3355732998321153,66.55131244659424
2,4,Flavivirus,0.6618931644799694,0.6390941516058335,0.6206244265796333,0.7045961585886913,0.6137941943810095,0.5482233502538071,0.29159204096468044,50.75921320915222
2,5,Bacteria,0.6423904054449419,0.6093067028885516,0.5940151515075699,0.7629449737940945,0.5941308043721361,0.5839598997493735,0.3491436342084835,41.201080083847046
3,1,Coronavirus,0.529766212790303,0.5156071290961107,0.5055793534032147,0.8058530943436332,0.5284823959642679,0.5519630484988453,0.3969605737035688,370.4677495956421
3,2,Parasite,0.4284492020834555,0.3949045363322709,0.37707583583862514,0.8920658365651288,0.4706602474519316,0.420462850182704,0.4115224051616697,348.8067328929901
3,3,Human/Self,0.6210529914187415,0.5977211772788875,0.581954505683205,0.734868584583124,0.5392097149814502,0.5692946058091286,0.3465991497708031,65.9207034111023
3,4,Flavivirus,0.6573530226353778,0.625158708221865,0.601106593052283,0.7262671839782522,0.6366721081441862,0.6213189547905433,0.2934182421893611,51.11274027824402
3,5,Bacteria,0.6321310708797517,0.6008115311463674,0.578731373872286,0.7668256780700559,0.60906142850165,0.5810914681014604,0.37322151675178933,42.43010997772217
4,1,Coronavirus,0.5198319832957414,0.5043990087689444,0.4956667362059288,0.8026436179306967,0.5258065022326003,0.5360665844636252,0.38420337885730055,367.44062185287476
4,2,Parasite,0.4093320564720635,0.3778589664951198,0.3565985903526519,0.8894777149959147,0.4604767578519603,0.3718910382945124,0.3786402099949591,349.2905504703522
4,3,Human/Self,0.6174164023866484,0.5925652557656965,0.5776514209257131,0.7401114299987841,0.5574636779981186,0.56823073611709,0.34779298402998315,66.3683500289917
4,4,Flavivirus,0.6511532411670053,0.6160368435824943,0.5879610012106548,0.733452266249147,0.6395770921681774,0.6394793926247289,0.341284462009451,51.7343635559082
4,5,Bacteria,0.6272859320719055,0.5949472884337107,0.5714926448623829,0.7645606948591819,0.6317351936552161,0.5876288659793815,0.37468195122811665,41.47016406059265
5,1,Coronavirus,0.5101886284285789,0.4949878546401626,0.4861118620300817,0.8053117725069427,0.5322264035825073,0.551392231007219,0.39809067702084494,366.1100203990936
5,2,Parasite,0.3910965487187685,0.3579304346583726,0.3391710547044469,0.8881150960332347,0.4520052551509106,0.3669064748201439,0.36953768799688136,356.3666777610779
5,3,Human/Self,0.6126283983162037,0.5880204365605313,0.5702540183643652,0.7421697937680656,0.562950558507223,0.5633676668159426,0.3443918416511877,66.01420783996582
5,4,Flavivirus,0.6499723853259687,0.6151601173822453,0.5858989166502921,0.7253932887137753,0.6410962812325665,0.6043456291056089,0.32926926653091415,51.46288228034973
5,5,Bacteria,0.627333928528146,0.592231306151598,0.5642206375736268,0.7622573011015155,0.6323014489352172,0.5740181268882175,0.35871971565049926,41.42362666130066
6,1,Coronavirus,0.5015774594191342,0.48654977820205864,0.4776751460365808,0.8061237645036529,0.5383185505096548,0.5418561966323517,0.3895819782189111,374.09605503082275
6,2,Parasite,0.38000911337056364,0.34216298530051525,0.32306541501031827,0.8869970194598205,0.45570613126005904,0.38525819584315407,0.3840622820191771,347.91695857048035
6,3,Human/Self,0.6107387820272955,0.58418644794071,0.5640358807324757,0.7402955351330709,0.5575690691898305,0.5633672525439408,0.3488889791113277,66.24478507041931
6,4,Flavivirus,0.6483203411497027,0.6103204585463795,0.5771060269202618,0.7270442983889931,0.6314747822664685,0.6147540983606558,0.3082287901599632,50.94666123390198
6,5,Bacteria,0.6271096861656801,0.5933766992984976,0.5625449239962386,0.7615529012353328,0.6124349508303878,0.5803571428571429,0.3440262961494842,41.104283809661865
7,1,Coronavirus,0.4947007862145916,0.47764434050136917,0.46886717573859954,0.8049839795574162,0.537138940443065,0.5495280938519891,0.39352082274257544,374.18132638931274
7,2,Parasite,0.3666165587492287,0.3285327082023371,0.3108759903666643,0.8856056595739783,0.45552105165374784,0.3781031190324634,0.3757798869564653,357.41172981262207
7,3,Human/Self,0.6121408215915883,0.5817134526318873,0.5611219480444154,0.731806676912093,0.5470894135270274,0.5609867519415258,0.3433657683128339,67.18885087966919
7,4,Flavivirus,0.6483395298979929,0.6077297468059111,0.5727063810193775,0.7208445885881752,0.6285175925882069,0.5899581589958159,0.3204541103966226,53.3959846496582
