round,client_id,client_name,epoch_1_loss,epoch_2_loss,epoch_3_loss,local_val_auc_roc,local_val_auc_pr,local_val_f1,local_val_mcc,client_time_seconds
1,1,Coronavirus,0.5765304973128735,0.5460376601826696,0.5351219910831215,0.801964243961721,0.5154631307954528,0.5380006307158625,0.3844818210301717,364.6766622066498
1,2,Parasite,0.5298517643683409,0.45541939838941015,0.42796695290147796,0.8801682451638148,0.4342346221537234,0.3885052350189352,0.3826018825481919,346.6863842010498
1,3,Human/Self,0.6545084085476611,0.6193293360353426,0.6058480674377228,0.7220437330270448,0.5081584560941846,0.5484861781483107,0.3179868329706538,67.22780275344849
1,4,Flavivirus,0.671420974052505,0.6522301516390794,0.6387260043068438,0.6843345491876143,0.5934892132304759,0.5434663750683434,0.26681625098376716,50.658825159072876
1,5,Bacteria,0.6767264082108015,0.6289667680920887,0.6117412575478416,0.7515754519434499,0.581779612687373,0.581081081081081,0.35116164259705673,41.62401223182678
2,1,Coronavirus,0.5454513278442387,0.5294974642702465,0.5206167680150756,0.8072721626904362,0.5241048474761875,0.553478712357217,0.4009106764363148,364.1579895019531
2,2,Parasite,0.46118795726621564,0.42331624933511247,0.40596277825534344,0.8869576912896878,0.45256052792846124,0.36673943242706886,0.37042408876175925,350.501079082489
2,3,Human/Self,0.6284946809136533,0.6118478601367116,0.5986236696328219,0.7345990195058657,0.5358598922680542,0.5600706713780919,0.3374126220972599,66.41061520576477
2,4,Flavivirus,0.6600722031088064,0.6382076027772284,0.621938290580219,0.7169543567155876,0.6312607379169781,0.6198459447213411,0.31607768636171557,50.97577905654907
2,5,Bacteria,0.6420400468900861,0.6070095442940668,0.5928818400749944,0.7642335856864956,0.6047504074682732,0.5880701754385965,0.36760203894702265,41.58333992958069
3,1,Coronavirus,0.5315643513180814,0.5183514724156925,0.5097321499033219,0.8065979455757795,0.5334505980436345,0.5465253239104829,0.3919310040733132,365.24521470069885
3,2,Parasite,0.4360306082047926,0.40313868879434445,0.3857026111565588,0.8888790176876071,0.45327290916174245,0.41951930080116534,0.4107960527456162,346.4432554244995
