alpha,K,mean,std,count,result
0.3,3,0.7938,0.0094,3,0.7938 +- 0.0094
0.3,5,0.792,0.0036,3,0.7920 +- 0.0036
0.5,3,0.7948,0.0031,3,0.7948 +- 0.0031
0.5,5,0.8,0.0011,3,0.8000 +- 0.0011
0.5,10,0.7916,0.0055,3,0.7916 +- 0.0055
1.0,3,0.8034,0.001,3,0.8034 +- 0.0010
1.0,5,0.7994,0.0021,3,0.7994 +- 0.0021
1.0,10,0.7921,0.0021,3,0.7921 +- 0.0021
5.0,3,0.8019,0.0012,3,0.8019 +- 0.0012
5.0,5,0.8005,0.0005,3,0.8005 +- 0.0005
5.0,10,0.7938,0.0003,3,0.7938 +- 0.0003
