variant,client_id,client_name,best_val_auc,auc_roc,auc_pr,f1,mcc
pFL-LFT,1,Coronavirus,0.8040848385710524,0.809786000941102,0.5437117930375048,0.5611471861471862,0.4104104846077092
pFL-LFT,2,Parasite,0.888172462800787,0.8907769786076718,0.46052325003097816,0.4066293183940243,0.39975367364221776
pFL-LFT,3,Human/Self,0.7207359517283175,0.7467194353819017,0.5490574710596634,0.5661399548532732,0.34969298571857566
pFL-LFT,4,Flavivirus,0.6824899778049243,0.6976573749704486,0.6086745057154018,0.5909090909090909,0.28794103615452377
pFL-LFT,5,Bacteria,0.7389185572503004,0.7161605843934752,0.5209339335630068,0.5600539811066126,0.3163598281497362
pFL-CLF-Only,1,Coronavirus,0.7957534228851584,0.8012106800663428,0.524317237815786,0.5431353960182711,0.38476004203650394
pFL-CLF-Only,2,Parasite,0.8689456770659516,0.8743726457133356,0.41346918468364974,0.38632075471698113,0.3718570846879916
pFL-CLF-Only,3,Human/Self,0.7123052062685601,0.7323942219134887,0.5296635211231454,0.5411532774765895,0.32677170751812434
pFL-CLF-Only,4,Flavivirus,0.6780968439405148,0.7130993573900147,0.6266115978670554,0.6066790352504638,0.3000076560894112
pFL-CLF-Only,5,Bacteria,0.7351691922633724,0.7149868449562015,0.5160860988032162,0.5512129380053908,0.30149157888556544
pFL-FedProx,1,Coronavirus,0.8036246678773259,0.8089770172980171,0.541746226030029,0.5604168538316414,0.40948128733645633
pFL-FedProx,2,Parasite,0.887821702705502,0.8904560447811432,0.45988876844465415,0.4135102533172497,0.40396798223496605
pFL-FedProx,3,Human/Self,0.718286913934024,0.7449320764583756,0.5452180481066993,0.5591200733272227,0.34082642163009125
pFL-FedProx,4,Flavivirus,0.6782789353245815,0.6937243439575318,0.6030810069206403,0.5792079207920792,0.2776217494098035
pFL-FedProx,5,Bacteria,0.7352707943548886,0.7128956572878944,0.5167171523813876,0.5605958023019635,0.3177730221033387
