model,seed,lora_rank,auc_roc,auc_pr,f1,mcc,best_val_auc
Random,44,2,0.496493579672246,0.18239808681689612,0.26844712106714697,-0.0026895016262723486,
Single_Client1_Coronavirus,44,2,0.5856110839260167,0.24282764062550455,0.3291875868254958,0.09167558848885876,0.8047565881586426
Single_Client2_Parasite,44,2,0.7184124047547025,0.3600366045133658,0.3929035580294745,0.2281510433679079,0.8856262011346767
Single_Client3_Human/Self,44,2,0.678390967720994,0.33820914320741446,0.389144558743909,0.21033019791570054,0.7356260038491158
Single_Client4_Flavivirus,44,2,0.5667261138957279,0.22008850458248996,0.2877306289798806,0.06702580722778209,0.7122941793843877
Single_Client5_Bacteria,44,2,0.6606940792628727,0.3235093439191174,0.35695845752840377,0.1533098610569982,0.7571846308250832
Frozen_ESM2,44,2,0.6974646783266868,0.3354122631989784,0.38587536541227785,0.22942510446640194,0.6894314424173671
Centralised_LoRA,44,2,0.8024380767494245,0.48682222704923594,0.49487425064736973,0.36644532570685745,0.7963331653599772
