seed,lora_rank,epsilon_label,target_epsilon,reported_epsilon,delta,best_val_auc,best_round,test_auc_roc,test_auc_pr,test_f1,test_mcc
44,2,eps=1.0,1.0,0.9994680834724765,1e-05,0.6491560435287063,20,0.637676442611334,0.28668481906735754,0.0,0.0
44,2,eps=5.0,5.0,4.9993033832200595,1e-05,0.6852297762608296,18,0.6701893342526877,0.33603391061922355,0.02176367929370701,0.065747875533981
44,2,eps=10.0,10.0,10.001112511168893,1e-05,0.6793491354168072,17,0.6490248176003002,0.3131512458442725,0.034255599472990776,0.0760480754929488
44,2,No-DP,inf,inf,1e-05,0.7362451700095227,9,0.7420993271854657,0.4029232548738886,0.44884862950717036,0.2995782325289621
