model,seed,lora_rank,auc_roc,auc_pr,f1,mcc,best_val_auc
Random,42,2,0.49559360773914274,0.18218668695098383,0.26811268870306976,-0.0038049854577434207,
Single_Client1_Coronavirus,42,2,0.5713349321639427,0.22158000780616594,0.3355529081393865,0.10775554566915954,0.8069544524076873
Single_Client2_Parasite,42,2,0.712858837921917,0.3465261912275214,0.3953173136167591,0.2324951076245544,0.8885242010656293
Single_Client3_Human/Self,42,2,0.6764642255071945,0.3269394221238956,0.37990743696137885,0.1959806411670286,0.7375261446382676
Single_Client4_Flavivirus,42,2,0.5777876304851226,0.22860799282487326,0.3101720958819914,0.08039550426695782,0.7020293152790443
Single_Client5_Bacteria,42,2,0.6605988682213613,0.32548474692816365,0.3536376115305422,0.1468081016165763,0.7603454471111551
Frozen_ESM2,42,2,0.6979348902952685,0.3349552003931148,0.3576704003488404,0.22011895966782727,0.6902332188016889
Centralised_LoRA,42,2,0.8001020976188727,0.48380342105970664,0.49405748545230116,0.36561185745640384,0.7961955557344467
