model,seed,lora_rank,auc_roc,auc_pr,f1,mcc,best_val_auc
Random,43,2,0.49984856509298453,0.1862126126425398,0.27072981912872124,0.0014005547013689543,
Single_Client1_Coronavirus,43,2,0.5959385711290467,0.2483058245718196,0.33274952406853414,0.1004497353042855,0.8054487710883459
Single_Client2_Parasite,43,2,0.7220770478400806,0.36557721297210444,0.3930246048242858,0.23030125933137235,0.8892756654429956
Single_Client3_Human/Self,43,2,0.6723411920081768,0.3239457681056332,0.3876499808941536,0.20658320795814236,0.7388246474289009
Single_Client4_Flavivirus,43,2,0.5651593481529632,0.22188790881531545,0.3064468021645575,0.06549678822470352,0.7044241037376049
Single_Client5_Bacteria,43,2,0.6573134279774966,0.3171830383056285,0.3699921216188614,0.1769053442879071,0.7608200032215297
Frozen_ESM2,43,2,0.6971977479561042,0.33498912565152195,0.398240211174659,0.22492361558561857,0.6892630710383081
Centralised_LoRA,43,2,0.8001438914289205,0.48643442854754637,0.4923135915222923,0.36381028788627223,0.7964036501768056
