round,client_id,client_name,epoch_1_loss,epoch_2_loss,epoch_3_loss,local_val_auc_roc,local_val_auc_pr,local_val_f1,local_val_mcc,client_time_seconds
1,1,IID-1,0.616052931090979,0.5768997109777658,0.5639773477090815,0.7739627188836771,0.4319681137578572,0.4686995153473344,0.3295938022077288,457.55792927742004
1,2,IID-2,0.6169468198953442,0.5765714221597873,0.5620165956170522,0.7763137422709088,0.4381969241995644,0.4632849253426058,0.32621938854050975,452.0257923603058
1,3,IID-3,0.6660182152995626,0.6257541048466098,0.6078131219357935,0.7268706148079326,0.36057873946153435,0.431266846361186,0.27488639963699524,82.00395011901855
1,4,IID-4,0.6718285549555393,0.6377119074594106,0.6181463557758079,0.7169366912374723,0.33021372636225255,0.39908256880733944,0.2396996178453492,66.98725485801697
1,5,IID-5,0.6752209508860553,0.6456743044617735,0.6244121919934151,0.6996842498158965,0.3342482298895908,0.41253791708796766,0.23603612556917475,54.47048783302307
2,1,IID-1,0.5657142925082163,0.5542287256305749,0.5468261084569691,0.7811410303343,0.44746984890257013,0.4796851733673687,0.3433341507773998,472.98692083358765
2,2,IID-2,0.5633619272893713,0.5521373239223116,0.5438135343408862,0.7802571972626102,0.44727937251505484,0.465683782409761,0.330415155868289,444.46588373184204
2,3,IID-3,0.5679114501894885,0.558644756030187,0.548333469313823,0.7821046786061363,0.4353817107675603,0.48780487804878053,0.35158445314385345,88.66612362861633
2,4,IID-4,0.5824720278283618,0.567813760890866,0.558032687136669,0.7787149436905796,0.4433470080428737,0.4613138686131387,0.3352515825306973,65.69106411933899
2,5,IID-5,0.5750182616857835,0.5605065359009637,0.5481688383920693,0.7501151697955862,0.4277540117032266,0.4545454545454546,0.2917105017826609,54.07366347312927
3,1,IID-1,0.5507600332595797,0.5419988003375877,0.532941479812949,0.7909858020881094,0.4592956329836205,0.47408259078279197,0.34159342794628167,487.94930362701416
3,2,IID-2,0.5470993376315333,0.5379055857282969,0.529934167659791,0.7847819960693578,0.4561124779521639,0.48276646570356047,0.3491025947305071,461.2058799266815
3,3,IID-3,0.5507632760904521,0.5411563285131188,0.5294781075482453,0.7850915483932975,0.4511946760607429,0.47261009667024706,0.3345639815569318,84.72932243347168
3,4,IID-4,0.5667910632116115,0.552531784930766,0.5398683770997634,0.7922797448196286,0.46076487271275285,0.47975553857906805,0.3592288714311061,69.34297180175781
3,5,IID-5,0.557321388412405,0.5426365249932058,0.5299045529385162,0.763792633840753,0.4454377294475988,0.47805788982259567,0.32580809274116734,56.48251795768738
4,1,IID-1,0.5385325893991918,0.5284664105046899,0.5207391874463486,0.7886895079097006,0.45951141006197493,0.4658904857194833,0.3336554327706438,475.2683365345001
4,2,IID-2,0.5358403481745212,0.525923023982219,0.5174659034453852,0.7830549342396836,0.4560052025625315,0.4773628207803046,0.3463920621252786,435.8021647930145
4,3,IID-3,0.5464878770079625,0.5311097568683042,0.5190688892630221,0.7905933959140955,0.45982196480752924,0.49212121212121207,0.35713223844063596,85.51281476020813
4,4,IID-4,0.5605137812972858,0.5441759201075067,0.5281842781218472,0.7885142609209761,0.4447528376683931,0.4764011799410029,0.3573296137796532,65.52035546302795
4,5,IID-5,0.5515883041262136,0.5328824301806007,0.5151617148040254,0.7645382952180155,0.44531821396309956,0.4803073967339097,0.32896872202770194,49.843689918518066
5,1,IID-1,0.5281984516505688,0.5178026314807747,0.5093318994005922,0.7874603026641169,0.4587515554873586,0.48271514132604815,0.34829074429987505,463.0607714653015
5,2,IID-2,0.5271788002100102,0.5158173122205013,0.5064879204904618,0.780592200456639,0.45594637150361816,0.4844640082858622,0.3498971822848107,440.58824706077576
5,3,IID-3,0.5447576808868777,0.5242118717908253,0.508009507579127,0.7941816444003033,0.4631992076922014,0.4824654622741764,0.35077557778222884,84.27947616577148
5,4,IID-4,0.555082915141093,0.5363562692277479,0.5182485077160084,0.7941308991389092,0.4672875110328448,0.4681753889674682,0.3489629975676047,65.82842993736267
5,5,IID-5,0.546495548736902,0.525106731388304,0.5046605610062556,0.7686364904989121,0.4502963142146217,0.4840370751802265,0.3354169055412824,53.055508613586426
6,1,IID-1,0.5195298273283664,0.5074255255031324,0.4987777880743815,0.786913376339796,0.4556147018285174,0.4723897023638626,0.3390468015452961,461.4877736568451
6,2,IID-2,0.5169781793428715,0.5047531842665617,0.4950194342798272,0.7814428819004012,0.457247939845668,0.4694092827004219,0.33343700688349753,447.9926564693451
6,3,IID-3,0.5412523697199105,0.5205713239031591,0.5036459790386316,0.791130698747317,0.464682223516358,0.4741144414168937,0.33584544889809115,84.25030136108398
6,4,IID-4,0.5535529949609806,0.5314657670377896,0.5128181342849668,0.791050807212946,0.46158638836915455,0.4740511231603408,0.3497809599818927,64.5555191040039
