,epsilon,best_auc,auc_pr,f1,mcc,privacy
eps=1.0,1.0,0.6307305101949248,0.2838461487168038,0.02621646434764868,0.06447370907658379,"ε=1.0, δ=1e-05"
eps=5.0,5.0,0.6645407424569912,0.30046214349757566,0.03970573415297793,0.08045253489019433,"ε=5.0, δ=1e-05"
eps=10.0,10.0,0.6537084842855023,0.3045094036645176,0.13110900131109002,0.13420565669827517,"ε=10.0, δ=1e-05"
No-DP,inf,0.7331436386259957,0.3905020125245959,0.4360460681870185,0.28123026632771503,None
