round,iid_auc,noniid_auc
1,0.7648844950995896,0.6776150811589451
2,0.789699445479774,0.7188443574793433
3,0.793761864338338,0.7311500067191375
4,0.7955894062574405,0.7396345556989294
5,0.7961774016527134,0.7398627489559428
6,0.7969808408298606,0.7324178637728964
7,0.796291096295805,0.7411446326887896
8,0.7943884481697603,0.7438235753897614
9,0.7932194696369059,0.737054684706778
10,0.794059288107748,0.7412283643497954
11,0.7952450143328464,0.7397572473350842
12,0.7943162991288824,0.7255224025495103
13,0.7939028185690971,0.7287768220688129
14,0.7935901276996296,0.736125408176006
15,0.7932986847189911,0.7386731626817369
16,0.7931809779492649,0.73884043621594
17,0.7906103567945209,0.73251434892735
18,0.7922111709028637,0.7332870576254596
19,0.7922486805776914,0.7299170638219203
20,0.792303770043754,0.7336882971807
