round,standard_fl
1,0.6633894290271555
2,0.6960982787444465
3,0.7088694901515153
4,0.6999550940408141
5,0.6893588945018665
6,0.7042229884938989
7,0.7121249732862068
8,0.7023920470856801
9,0.715581874141886
10,0.7097777614374803
11,0.7244101854082168
12,0.7112549464073508
13,0.7161456882830166
14,0.7194910198717783
15,0.7222869404831077
16,0.7164622642387455
17,0.7054639210251114
18,0.7139390798357939
19,0.7147043747544477
20,0.7073093558544227
