eps=1.0,eps=5.0,eps=10.0,No-DP
0.5565101737043674,0.5627736996365138,0.5678946711243755,0.6636796016040596
0.5695316187913845,0.5862647795949886,0.5960758513892987,0.716197377950862
0.5833381257845975,0.6085211903290307,0.6113355151030693,0.7295550089580124
0.5995294083939813,0.6216805786972269,0.597621252094082,0.7305766398219478
0.6137933145150005,0.6257559485645638,0.6033343575260235,0.7244468178553565
0.6236211219466288,0.6078230534028132,0.6136143943768319,0.7280179675716199
0.6184254157908244,0.6153339025224259,0.5970869623211934,0.7283637387033822
0.6199373136927037,0.6442958985777067,0.6074189744488618,0.7331436386259957
0.6218395408236422,0.6520898087952185,0.5965373733017778,0.7297684460583678
0.6304252327958123,0.655336561690721,0.6179605654823821,0.7236211333215332
0.6265184356127744,0.6564146433000486,0.6090311019506532,0.7297674937192182
0.6307305101949248,0.6645407424569912,0.6169109622446451,0.7238872553938762
0.6141249906564279,0.6528781103854868,0.6175061603036196,0.728949103651994
0.6194847754819591,0.6434507756303486,0.6241236089702722,0.7245287817696577
0.6123498901379888,0.6378420664752867,0.6374693195102675,0.7260741784561323
0.6269369894417784,0.6479977270913146,0.6294816600501721,0.7207368816312992
0.6160198883923923,0.6528900141612058,0.6276839315084335,0.7217735171688273
0.6168618044203487,0.6337448512275345,0.6389525619258748,0.7228246554004679
0.626708232076051,0.6394929082171983,0.6412155116968542,0.724349021495881
0.623890603015901,0.6399161461576833,0.6537084842855023,0.7270182707999908
