,auc_roc,auc_pr,f1,mcc
Random,0.49659825723073114,0.18340553885372976,0.2668693522506545,-0.005421283409065341
Single_Client1_Coronavirus,0.5659340728056115,0.21987269353016065,0.33732409157739973,0.11280514599238228
Single_Client2_Parasite,0.7249390442824172,0.3719386600521412,0.40167604328473155,0.23857772375825517
Single_Client3_Human,0.664069159008758,0.31160053520163317,0.38793090163808114,0.20703892568684765
Single_Client4_Flavivirus,0.5664469867219956,0.21834774180675945,0.2966788723836326,0.06348893352773086
Single_Client5_Bacteria,0.647586799084823,0.31790671287114713,0.347516193503335,0.18613778697546865
Frozen_ESM2,0.6987272071031783,0.3366770688569525,0.4011091687262644,0.2289318181591325
Centralised_LoRA,0.8105768035958442,0.5112967917993021,0.49492812765461297,0.3714613856312778
Federated_LoRA,0.7438235753897614,0.4098811770264008,0.44279427008105493,0.2911928731853536
