seed,lora_rank,client_id,client_name,pFL-LFT_auc_roc,pFL-LFT_auc_pr,pFL-LFT_f1,pFL-LFT_mcc,pFL-LFT_val_auc,pFL-CLF-Only_auc_roc,pFL-CLF-Only_auc_pr,pFL-CLF-Only_f1,pFL-CLF-Only_mcc,pFL-CLF-Only_val_auc,pFL-FedProx_auc_roc,pFL-FedProx_auc_pr,pFL-FedProx_f1,pFL-FedProx_mcc,pFL-FedProx_val_auc
44,2,1,Coronavirus,0.8109365037061897,0.5422693888939707,0.558537250977895,0.40603216158535044,0.8039626728770718,0.7961029745255584,0.5130719830863092,0.542038105226359,0.38225779831625867,0.792049507649796,0.8108442601832895,0.5424460680609909,0.5600655260283947,0.4083454672255466,0.8036635568432289
44,2,2,Parasite,0.881781913439924,0.46083235537787426,0.3947550034506556,0.38627281076955594,0.8876300102420107,0.8710312631432987,0.4252345318566918,0.38857938718662954,0.3769141140153681,0.8730629941194747,0.8811822194144826,0.45997868276900783,0.3848888888888889,0.37812244606755535,0.8877364005661875
44,2,3,Human/Self,0.745750144393625,0.5461934852143928,0.5621145374449339,0.3402191056936303,0.7178459406282918,0.7315895689264919,0.5226464660379331,0.5472547254725473,0.3195128905164441,0.7093106898668436,0.7433710642980909,0.5451608768914044,0.5625829279080053,0.341449037029553,0.7169200431890135
44,2,4,Flavivirus,0.6987900019342776,0.603545583768533,0.5821185617103984,0.2745662577218396,0.6868748673743856,0.6818457306196135,0.5872725134419066,0.5791647544745296,0.24545337541914247,0.6778301589213309,0.694503786169199,0.5990188853323487,0.588124410933082,0.27248882738160596,0.6855966432098552
44,2,5,Bacteria,0.7204407713498624,0.5460944749564964,0.5643370346178967,0.3190565098173157,0.7443443567472463,0.7225839601324792,0.5327779614154171,0.5634824667472793,0.310059194620662,0.7591795011585116,0.7169678397870431,0.5414160208368267,0.5654801880456682,0.32467546780227635,0.7381404339152738
